Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot4,"gaylatea",normal,74,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","3","10:50:36","10:52:17",
Bot5,"JustAShepard",normal,4,Completed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","10:50:37","10:52:33",
Bot5,"JustAShepard",normal,4,Failed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","10:52:38","10:53:26",
Bot6,"GopnikWarrior",normal,78,Failed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","10:50:37","10:52:09",
