Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Леха Мудрый (dushaoan)",normal,1,Completed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","20:24:39","20:24:46",
Bot2,"Леха Мудрый (dushaoan)",normal,1,Completed,"Basement Crates","Basement Crates: Objective #2","1","20:24:51","20:25:03",
Bot2,"Леха Мудрый (dushaoan)",normal,1,Completed,"Basement Crates","Basement Crates: Objective #1","1","20:25:08","20:25:22",
Bot2,"Леха Мудрый (dushaoan)",normal,1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","20:25:27","20:25:41",
