Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"白闲者",normal,62,Active,"Проверка - Часть 2","Zone meh_45_radio_area_mark_1","1","23:57:20","N/A",
Bot2,"KittehKun",normal,26,Active,"Прикормка","Zone place_skier_12_3","1","23:57:20","N/A",
Bot3,"Clerance",normal,42,Completed,"Кровь войны - Часть 3","Zone bar_fuel3_2","1","23:57:22","23:57:56",
Bot3,"Clerance",normal,42,Completed,"Кровь войны - Часть 3","Zone bar_fuel3_3","1","23:58:01","00:01:49",
Bot3,"Clerance",normal,42,Active,"Кровь войны - Часть 3","Zone bar_fuel3_1","1","00:01:55","N/A",
Bot4,"gaylatea",normal,17,Active,"Поисковая миссия","Zone pr_scout_col","1","23:57:37","N/A",
Bot5,"Bulld0z3r",normal,37,Failed,"Проверка - Часть 2","Zone meh_45_radio_area_mark_3","1","23:57:57","00:01:40",
Bot5,"Bulld0z3r",normal,37,Active,"Проверка - Часть 2","Zone meh_45_radio_area_mark_2","1","00:01:45","N/A",
Bot7,"MemeG",normal,31,Active,"Осведомлён значит вооружён","Zone place_skier_11_1","1","23:58:08","N/A",
Bot8,"Gatsu66",normal,33,Active,"Устойчивый сигнал","Zone q14_8_1","1","23:58:23","N/A",
