Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Aethas",normal,17,Failed,"Scout","Zone place_pacemaker_SCOUT_03","1","11:14:45","11:16:13",
Bot2,"MusicManiac",normal,25,Active,"Farming - Part 1","Zone place_SADOVOD_01_1","2","11:14:46","N/A",
