Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"MacrossMX7167",normal,21,Completed,"TTS","TTS: Objective #4","1","14:39:27","14:39:29",
Bot1,"MacrossMX7167",normal,21,Failed,"TTS","TTS: Objective #2","1","14:39:34","14:39:46",
Bot1,"MacrossMX7167",normal,21,Completed,"TTS","TTS: Objective #1","1","14:39:51","14:39:58",
Bot1,"MacrossMX7167",normal,21,Completed,"TTS","TTS: Objective #3","1","14:40:03","14:42:18",
Bot1,"MacrossMX7167",normal,21,Completed,"Распродажа","Zone place_SALE_03_TREND","1","14:42:23","14:43:04",
Bot1,"MacrossMX7167",normal,21,Completed,"Распродажа","Zone place_SALE_03_DINO","1","14:43:09","14:43:57",
Bot1,"MacrossMX7167",normal,21,Completed,"Распродажа","Zone place_SALE_03_KOSTIN","1","14:44:02","14:45:04",
Bot1,"MacrossMX7167",normal,21,Completed,"Распродажа","Zone place_SALE_03_AVOKADO","1","14:45:09","14:46:33",
Bot1,"MacrossMX7167",normal,21,Completed,"Распродажа","Zone place_SALE_03_TOPBRAND","1","14:46:38","14:47:36",
Bot1,"MacrossMX7167",normal,21,Completed,"OLI Mall Entrance","OLI Mall Entrance: Objective #3","1","14:47:41","14:48:30",
Bot1,"MacrossMX7167",normal,21,Completed,"OLI Mall Entrance","OLI Mall Entrance: Objective #2","1","14:48:35","14:48:49",
Bot1,"MacrossMX7167",normal,21,Completed,"OLI Mall Entrance","OLI Mall Entrance: Objective #1","1","14:48:54","14:49:36",
Bot1,"MacrossMX7167",normal,21,Completed,"OLI NE Office","OLI NE Office: Objective #1","3","14:49:42","14:52:17",
Bot2,"snowythefox811",normal,5,Completed,"The National","The National: Objective #1","2","14:39:44","14:40:25",
Bot2,"snowythefox811",normal,5,Completed,"The National","The National: Objective #2","1","14:40:30","14:40:45",
Bot2,"snowythefox811",normal,5,Completed,"ADIK","ADIK: Objective #2","1","14:40:50","14:41:21",
Bot2,"snowythefox811",normal,5,Completed,"ADIK","ADIK: Objective #1","1","14:41:26","14:41:38",
Bot2,"snowythefox811",normal,5,Completed,"Techlight","Techlight: Objective #1","3","14:41:43","14:44:16",
Bot2,"snowythefox811",normal,5,Completed,"Techlight","Techlight: Objective #2","3","14:44:22","14:45:02",
Bot2,"snowythefox811",normal,5,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #2","1","14:45:07","14:47:07",
Bot2,"snowythefox811",normal,5,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #4","1","14:49:48","14:50:58",
Bot2,"snowythefox811",normal,5,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #6","1","14:51:03","14:51:21",
Bot2,"snowythefox811",normal,5,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #3","1","14:51:26","14:51:41",
Bot2,"snowythefox811",normal,5,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #5","1","14:51:46","14:52:03",
Bot2,"snowythefox811",normal,5,Completed,"OLI Showroom West","OLI Showroom West: Objective #6","1","14:52:08","14:52:27",
Bot2,"snowythefox811",normal,5,Active,"OLI Showroom West","OLI Showroom West: Objective #3","1","14:52:32","N/A",
Bot3,"ChiNoel",normal,9,Completed,"KIBA Alarm Panel 2","KIBA Alarm Panel 2: Objective #1","2","14:39:56","14:40:13",
Bot3,"ChiNoel",normal,9,Completed,"Generic","Generic: Objective #2","1","14:40:18","14:41:02",
Bot3,"ChiNoel",normal,9,Completed,"Generic","Generic: Objective #1","1","14:41:07","14:41:13",
Bot3,"ChiNoel",normal,9,Completed,"Generic","Generic: Objective #3","1","14:41:18","14:41:24",
Bot3,"ChiNoel",normal,9,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #4","1","14:41:29","14:42:07",
Bot3,"ChiNoel",normal,9,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #3","1","14:42:12","14:42:21",
Bot3,"ChiNoel",normal,9,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #2","1","14:42:26","14:42:42",
Bot3,"ChiNoel",normal,9,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #1","1","14:42:47","14:42:57",
