Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot17,"Snofielf",normal,8,Pending,"Санэпиднадзор - Часть 1","Zone pumproom","1","20:46:19","N/A",
Bot16,"SamSWAT",normal,28,Completed,"Скаут","Zone place_pacemaker_SCOUT_01","1","20:46:19","20:46:40",
Bot16,"SamSWAT",normal,28,Completed,"Скаут","Zone place_pacemaker_SCOUT_04","1","20:46:45","20:48:35",
Bot16,"SamSWAT",normal,28,Active,"Скаут","Zone place_pacemaker_SCOUT_02","1","20:48:40","N/A",
