Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot28,"GGaulin",normal,27,Completed,"Реагент - Часть 4","Zone gazel","1","22:53:59","22:55:14",
Bot28,"GGaulin",normal,27,Failed,"Power Switch","Power Switch: Objective #1","1","22:55:19","22:56:30",
Bot29,"Tariyihika",normal,22,Completed,"Садоводство - Часть 3","Zone place_SADOVOD_03","1","22:54:01","22:56:23",
Bot29,"Tariyihika",normal,22,Completed,"Садоводство - Часть 3","Item Посылка с видеокартами","1","22:56:28","23:02:34",
Bot29,"Tariyihika",normal,22,Failed,"Золотые понты","Zone extraction_zone_zibbo","1","23:02:39","23:06:10",
Bot29,"Tariyihika",normal,22,Failed,"Золотые понты","Item Золотая бензиновая зажигалка Zibbo","1","23:04:51","23:06:10",
Bot31,"Skeeze",normal,45,Completed,"Деза","Zone Q019_3","2","22:54:13","22:54:58",
Bot31,"Skeeze",normal,45,Completed,"Деза","Item Ложный флеш-накопитель","1","22:55:03","22:57:29",
Bot31,"Skeeze",normal,45,Completed,"Boss Hunter","Spawn Point (5.9 1.4 -90.5)","1","22:57:35","22:59:13",
Bot31,"Skeeze",normal,45,Completed,"Boss Hunter","Spawn Point (-17.2 0.0 -141.0)","1","22:59:18","22:59:39",
Bot31,"Skeeze",normal,45,Failed,"Boss Hunter","Spawn Point (109.9 1.2 -109.8)","1","22:59:44","23:02:14",
Bot58,"Деня Саймон (Kronzky)",normal,1,Active,"Fortress","Fortress: Objective #5","1","23:04:47","N/A",
