Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Tron",normal,56,Completed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","12:28:46","12:31:24",
Bot1,"Tron",normal,56,Failed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","12:31:29","12:34:19",
Bot5,"DannyR121",normal,34,Failed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","12:29:45","12:43:35",
Bot4,"Thunderbags",normal,27,Completed,"Boss Hunter","Spawn Point (242.9 1.5 -164.3)","1","12:29:45","12:30:22",
Bot4,"Thunderbags",normal,27,Completed,"Boss Hunter","Spawn Point (187.1 3.4 -149.6)","1","12:30:28","12:30:46",
Bot4,"Thunderbags",normal,27,Completed,"Boss Hunter","Spawn Point (135.1 8.5 -174.2)","1","12:30:51","12:31:18",
Bot4,"Thunderbags",normal,27,Completed,"Boss Hunter","Spawn Point (94.9 6.8 -203.7)","1","12:31:23","12:31:58",
Bot4,"Thunderbags",normal,27,Completed,"Boss Hunter","Spawn Point (25.6 11.3 -226.6)","1","12:32:03","12:32:38",
Bot4,"Thunderbags",normal,27,Completed,"Boss Hunter","Spawn Point (-12.3 13.8 -229.3)","1","12:32:43","12:33:04",
Bot4,"Thunderbags",normal,27,Completed,"Boss Hunter","Spawn Point (-60.3 18.9 -230.1)","1","12:33:10","12:41:54",
Bot4,"Thunderbags",normal,27,Failed,"Chumming","Zone place_skier_12_3","1","12:41:59","12:44:19",
Bot7,"aburiu",normal,63,Failed,"Old Sawmill","Old Sawmill: Objective #1","1","12:29:46","12:34:15",
Bot8,"ThurmanMurman",normal,62,Failed,"Old Sawmill","Old Sawmill: Objective #1","1","12:29:46","12:36:56",
Bot6,"Nomad_420",normal,41,Completed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","12:29:46","12:30:25",
Bot6,"Nomad_420",normal,41,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","12:30:30","12:32:24",
Bot6,"Nomad_420",normal,41,Failed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","12:32:29","12:34:19",
Bot9,"Waffle",normal,64,Completed,"Return the Favor","Zone place_keeper5_2","2","12:29:48","12:31:05",
Bot9,"Waffle",normal,64,Completed,"Return the Favor","Zone place_keeper5_1","2","12:31:10","12:32:24",
Bot9,"Waffle",normal,64,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_1","1","12:32:29","12:34:10",
Bot9,"Waffle",normal,64,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_2","1","12:34:16","12:37:39",
Bot9,"Waffle",normal,64,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_3","1","12:37:44","12:37:44",
Bot9,"Waffle",normal,64,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_4","1","12:37:49","12:41:53",
Bot9,"Waffle",normal,64,Completed,"Scav House Sniping","Scav House Sniping: Objective #3","2","12:41:58","12:43:41",
Bot9,"Waffle",normal,64,Completed,"Scav House Sniping","Scav House Sniping: Objective #2","2","12:43:46","12:44:34",
Bot9,"Waffle",normal,64,Completed,"Scav House Sniping","Scav House Sniping: Objective #1","2","12:44:39","12:46:36",
Bot9,"Waffle",normal,64,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","12:46:41","12:47:22",
Bot9,"Waffle",normal,64,Completed,"Sawmill Marked Circle","Sawmill Marked Circle: Objective #1","1","12:47:27","12:48:39",
Bot9,"Waffle",normal,64,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #1","2","12:48:44","12:50:42",
Bot9,"Waffle",normal,64,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #2","2","12:50:47","12:51:05",
Bot9,"Waffle",normal,64,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #3","1","12:51:10","12:51:19",
Bot9,"Waffle",normal,64,Active,"Scav Base","Scav Base: Objective #2","1","12:51:24","N/A",
Bot10,"Jeo",normal,20,Completed,"Steady Signal","Zone q14_8_3","1","12:29:56","12:31:07",
Bot10,"Jeo",normal,20,Completed,"Steady Signal","Zone q14_8_2","1","12:31:12","12:32:54",
Bot10,"Jeo",normal,20,Failed,"Steady Signal","Zone q14_8_5","1","12:32:59","12:35:53",
Bot11,"DanCam38",normal,69,Failed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","12:29:56","12:36:40",
Bot28,"Леня Бочок (Nightingale)",normal,1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","12:46:32","12:46:40",
Bot28,"Леня Бочок (Nightingale)",normal,1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","12:46:46","12:47:05",
Bot28,"Леня Бочок (Nightingale)",normal,1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","12:47:10","12:47:46",
Bot28,"Леня Бочок (Nightingale)",normal,1,Completed,"Old Sawmill","Old Sawmill: Objective #1","1","12:47:51","12:49:59",
Bot28,"Леня Бочок (Nightingale)",normal,1,Completed,"Old Sawmill","Old Sawmill: Objective #3","1","12:50:04","12:50:30",
Bot28,"Леня Бочок (Nightingale)",normal,1,Completed,"Old Sawmill","Old Sawmill: Objective #2","2","12:50:35","12:51:00",
Bot28,"Леня Бочок (Nightingale)",normal,1,Active,"Old Sawmill","Old Sawmill: Objective #4","3","12:51:05","N/A",
