Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot35,"Bulld0z3r",normal,9,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","1","15:09:51","15:11:30",
Bot36,"Hobbes",normal,17,Active,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","1","15:09:52","N/A",
Bot37,"DanW",normal,18,Completed,"Скаут","Zone place_pacemaker_SCOUT_04","1","15:09:56","15:11:12",
Bot37,"DanW",normal,18,Active,"Скаут","Zone place_pacemaker_SCOUT_01","1","15:11:17","N/A",
