Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot6,"Tyfon",normal,24,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","20:30:06","20:30:21",
Bot5,"Capataina",normal,26,Pending,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","20:30:06","N/A",
Bot4,"GeorgRavioli",normal,13,Pending,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","20:30:07","N/A",
Bot4,"GeorgRavioli",normal,13,Active,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","1","20:30:07","N/A",
