Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Terkoiz",normal,23,Failed,"Boss Hunter","Spawn Point (-141.9 -4.0 -416.7)","1","16:56:47","16:57:59",
Bot1,"Terkoiz",normal,23,Failed,"Boss Hunter","Spawn Point (-213.1 0.1 -378.8)","1","16:58:04","16:58:04",
Bot1,"Terkoiz",normal,23,Failed,"Boss Hunter","Spawn Point (-134.6 4.2 -346.0)","1","16:58:09","16:58:09",
Bot1,"Terkoiz",normal,23,Failed,"Boss Hunter","Spawn Point (-134.4 4.2 -341.1)","1","16:58:14","16:58:14",
Bot1,"Terkoiz",normal,23,Failed,"Boss Hunter","Spawn Point (-116.1 0.0 -339.4)","1","16:58:19","16:58:19",
Bot1,"Terkoiz",normal,23,Failed,"Boss Hunter","Spawn Point (-215.2 2.7 -448.7)","1","16:58:24","16:59:28",
Bot1,"Terkoiz",normal,23,Failed,"Boss Hunter","Spawn Point (-116.0 0.0 -336.4)","1","16:59:33","16:59:33",
Bot1,"Terkoiz",normal,23,Failed,"Boss Hunter","Spawn Point (-218.1 2.7 -448.6)","1","16:59:39","16:59:39",
Bot2,"craink",normal,40,Completed,"Blue Room","Blue Room: Objective #2","1","16:56:49","16:56:50",
Bot2,"craink",normal,40,Completed,"Blue Room","Blue Room: Objective #1","1","16:56:56","16:58:29",
Bot2,"craink",normal,40,Failed,"Boss Hunter","Spawn Point (-178.2 0.1 -415.3)","1","16:58:34","16:58:54",
Bot3,"PreyToLive",normal,7,Failed,"Negotiation Room","Negotiation Room: Objective #1","1","16:56:49","16:59:03",
Bot4,"Corty",normal,21,Failed,"Main Working Area West","Main Working Area West: Objective #4","1","16:56:51","16:57:58",
Bot5,"Corty",normal,57,Completed,"Green Room","Green Room: Objective #1","1","16:56:51","16:58:39",
Bot5,"Corty",normal,57,Completed,"Green Room","Green Room: Objective #5","1","16:58:44","16:58:44",
Bot5,"Corty",normal,57,Completed,"Green Room","Green Room: Objective #6","1","16:58:49","17:00:16",
Bot5,"Corty",normal,57,Completed,"Green Room","Green Room: Objective #3","1","17:00:22","17:00:27",
Bot5,"Corty",normal,57,Completed,"Green Room","Green Room: Objective #2","1","17:00:32","17:04:18",
Bot5,"Corty",normal,57,Active,"Cargo Block Elevator Power Switch","Cargo Block Elevator Power Switch: Objective #1","1","17:04:23","N/A",
Bot6,"iDkGK",normal,1,Failed,"Sewage Conduit Pump Switch","Sewage Conduit Pump Switch: Objective #1","2","16:56:52","16:57:27",
Bot6,"iDkGK",normal,1,Completed,"Server Room Control Room","Server Room Control Room: Objective #1","3","16:57:33","16:59:13",
Bot6,"iDkGK",normal,1,Archived,"Server Room Drop-Down Area","Server Room Drop-Down Area: Objective #1","1","16:59:18","16:59:31",
Bot6,"iDkGK",normal,1,Archived,"Server Room SW Stairs","Server Room SW Stairs: Objective #1","1","16:59:36","16:59:49",
Bot6,"iDkGK",normal,1,Completed,"Server Room","Server Room: Objective #4","1","16:59:54","17:00:02",
Bot6,"iDkGK",normal,1,Completed,"Server Room","Server Room: Objective #5","1","17:00:07","17:05:07",
Bot6,"iDkGK",normal,1,Completed,"Medical Block Elevator Power Switch","Medical Block Elevator Power Switch: Objective #1","2","17:05:12","17:05:51",
Bot6,"iDkGK",normal,1,Completed,"Medical Block Elevator Stairwell","Medical Block Elevator Stairwell: Objective #1","2","17:05:56","17:07:05",
Bot6,"iDkGK",normal,1,Pending,"Hangar Gate Controls","Hangar Gate Controls: Objective #1","1","17:07:06","N/A",
Bot6,"iDkGK",normal,1,Pending,"Main Work Area 2nd Floor Patrol","Main Work Area 2nd Floor Patrol: Objective #4","1","17:07:38","N/A",
Bot6,"iDkGK",normal,1,Pending,"Main Work Area 2nd Floor Patrol","Main Work Area 2nd Floor Patrol: Objective #3","1","17:07:58","N/A",
Bot6,"iDkGK",normal,1,Pending,"Main Work Area 2nd Floor Patrol","Main Work Area 2nd Floor Patrol: Objective #5","1","17:08:32","N/A",
Bot6,"iDkGK",normal,1,Pending,"Main Work Area 2nd Floor Patrol","Main Work Area 2nd Floor Patrol: Objective #1","1","17:09:14","N/A",
Bot6,"iDkGK",normal,1,Pending,"Main Work Area 2nd Floor Patrol","Main Work Area 2nd Floor Patrol: Objective #6","1","17:11:05","N/A",
Bot6,"iDkGK",normal,1,Pending,"Main Work Area 2nd Floor Patrol","Main Work Area 2nd Floor Patrol: Objective #2","1","17:11:25","N/A",
Bot6,"iDkGK",normal,1,Pending,"Server Room NW Stairs","Server Room NW Stairs: Objective #1","1","17:12:04","N/A",
Bot6,"iDkGK",normal,1,Pending,"Board Room","Board Room: Objective #1","1","17:12:24","N/A",
Bot7,"Lave",normal,74,Failed,"Boss Hunter","Spawn Point (-224.9 0.1 -279.9)","1","16:56:52","17:04:40",
Bot9,"Tyrian",normal,46,Pending,"Following the Bread Crumbs","Zone quest_zone_keeper7_saferoom","1","16:56:52","N/A",
Bot8,"IcyClawz",normal,58,Active,"Following the Bread Crumbs","Zone quest_zone_keeper7_saferoom","1","16:56:52","N/A",
