Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot27,"McDewgle",normal,13,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","2","15:01:33","15:02:25",
Bot29,"Acouthyt",normal,16,Failed,"Садоводство - Часть 1","Zone place_SADOVOD_01_1","2","15:01:38","15:01:55",
Bot31,"Massivesoft",normal,24,Completed,"Садоводство - Часть 1","Zone place_SADOVOD_01_2","2","15:01:48","15:03:27",
Bot31,"Massivesoft",normal,24,Active,"Садоводство - Часть 1","Zone place_SADOVOD_01_1","1","15:03:32","N/A",
