Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"ixcetotis",normal,12,Completed,"Safe outside of Giovanni Teducci","Safe outside of Giovanni Teducci: Objective #1","1","18:43:29","18:43:42",
Bot1,"ixcetotis",normal,12,Completed,"Capital Insight","Capital Insight: Objective #5","5","18:43:47","18:45:23",
Bot1,"ixcetotis",normal,12,Completed,"Capital Insight","Capital Insight: Objective #4","4","18:45:29","18:46:24",
Bot1,"ixcetotis",normal,12,Completed,"Capital Insight","Capital Insight: Objective #1","1","18:46:30","18:46:58",
Bot1,"ixcetotis",normal,12,Completed,"Capital Insight","Capital Insight: Objective #3","1","18:47:03","18:47:25",
Bot1,"ixcetotis",normal,12,Completed,"Capital Insight","Capital Insight: Objective #2","1","18:47:30","18:47:53",
Bot1,"ixcetotis",normal,12,Completed,"Capital Insight Cafe Camping","Capital Insight Cafe Camping: Objective #1","2","18:47:58","18:50:07",
Bot1,"ixcetotis",normal,12,Completed,"Capital Insight Quest Room Camping","Capital Insight Quest Room Camping: Objective #1","2","18:50:12","18:52:41",
Bot2,"YankeeNoodle742",normal,17,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","18:43:35","18:45:10",
Bot2,"YankeeNoodle742",normal,17,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","3","18:45:16","18:46:11",
Bot2,"YankeeNoodle742",normal,17,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","3","18:46:16","18:46:56",
Bot2,"YankeeNoodle742",normal,17,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","18:47:01","18:47:17",
Bot2,"YankeeNoodle742",normal,17,Completed,"Tarbank Stairwell Camping","Tarbank Stairwell Camping: Objective #1","2","18:47:22","18:50:13",
Bot2,"YankeeNoodle742",normal,17,Active,"Oasis Sniping","Oasis Sniping: Objective #3","2","18:50:18","N/A",
Bot8,"Claus1978",normal,29,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","1","18:53:24","N/A",
