Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Kilgor616",normal,34,Completed,"1st Floor Office","1st Floor Office: Objective #1","3","18:24:25","18:25:11",
Bot2,"Carl",normal,2,Completed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","18:24:26","18:24:46",
Bot2,"Carl",normal,2,Active,"Pumping Station Roof","Pumping Station Roof: Objective #1","2","18:24:51","N/A",
