Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Hobbes",normal,16,Completed,"Steady Signal","Zone q14_8_3","1","17:52:57","17:53:25",
Bot1,"Hobbes",normal,16,Completed,"Steady Signal","Zone q14_8_2","1","17:53:31","17:54:58",
Bot1,"Hobbes",normal,16,Active,"Steady Signal","Zone q14_8_5","1","17:55:03","N/A",
Bot3,"CharlieMike",normal,8,Pending,"The Survivalist Path - Thrifty","Zone huntsman_005_2","1","17:53:04","N/A",
Bot2,"Archy",normal,70,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_4","1","17:53:04","17:54:35",
Bot2,"Archy",normal,70,Active,"Assessment - Part 2","Zone meh_45_radio_area_mark_3","1","17:54:40","N/A",
Bot4,"kikirio",normal,48,Completed,"Old Sawmill","Old Sawmill: Objective #1","1","17:53:10","17:54:40",
Bot4,"kikirio",normal,48,Completed,"Old Sawmill","Old Sawmill: Objective #3","1","17:54:45","17:55:13",
Bot4,"kikirio",normal,48,Completed,"Old Sawmill","Old Sawmill: Objective #2","2","17:55:19","17:55:43",
Bot4,"kikirio",normal,48,Completed,"Old Sawmill","Old Sawmill: Objective #4","3","17:55:48","17:56:20",
Bot4,"kikirio",normal,48,Completed,"Old Sawmill","Old Sawmill: Objective #5","1","17:56:25","17:56:52",
Bot4,"kikirio",normal,48,Pending,"The Blood of War - Part 3","Zone bar_fuel3_2","1","17:56:58","N/A",
Bot5,"Chomp",normal,73,Pending,"Spine","Spine: Objective #2","1","17:53:10","N/A",
Bot10,"DanW",normal,65,Pending,"Scav Base","Scav Base: Objective #2","1","17:53:34","N/A",
Bot9,"Yakhmet",normal,43,Completed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","17:53:34","17:55:39",
Bot9,"Yakhmet",normal,43,Active,"The Blood of War - Part 3","Zone bar_fuel3_3","1","17:55:44","N/A",
Bot13,"STUOKD",normal,8,Completed,"Search Mission","Zone pr_scout_base","1","17:53:46","17:54:58",
Bot13,"STUOKD",normal,8,Completed,"Search Mission","Zone pr_scout_col","1","17:55:03","17:56:21",
Bot13,"STUOKD",normal,8,Active,"USEC Camp North","USEC Camp North: Objective #1","1","17:56:26","N/A",
Bot14,"ANIME",normal,52,Pending,"Assessment - Part 2","Zone meh_45_radio_area_mark_2","1","17:53:46","N/A",
