Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Borkel",normal,47,Completed,"Проверка - Часть 2","Zone meh_45_radio_area_mark_4","1","22:03:18","22:36:28",
Bot1,"Borkel",normal,47,Active,"Проверка - Часть 2","Zone meh_45_radio_area_mark_3","1","22:36:33","N/A",
Bot3,"AcidPhantasm",normal,47,Pending,"Лендлиз - Часть 1","Item Контроллер мотора №1","1","22:03:33","N/A",
Bot2,"Tariyihika",normal,50,Completed,"Ответная услуга","Zone place_keeper5_1","2","22:03:33","22:37:25",
Bot2,"Tariyihika",normal,50,Active,"Ответная услуга","Zone place_keeper5_2","2","22:37:31","N/A",
Bot8,"jonkler",normal,55,Pending,"Проверка - Часть 2","Zone meh_45_radio_area_mark_3","1","22:03:52","N/A",
Bot7,"Props",normal,36,Completed,"Прикормка","Zone place_skier_12_3","2","22:03:52","22:06:55",
Bot7,"Props",normal,36,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #2","2","22:24:19","22:25:11",
Bot7,"Props",normal,36,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #1","2","22:25:16","22:25:30",
Bot7,"Props",normal,36,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #3","1","22:25:36","22:25:39",
Bot7,"Props",normal,36,Completed,"Sawmill Checkpoint","Sawmill Checkpoint: Objective #1","4","22:25:44","22:36:39",
Bot7,"Props",normal,36,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","22:36:44","22:38:20",
Bot7,"Props",normal,36,Pending,"ZB-014 Inner Room","ZB-014 Inner Room: Objective #1","1","22:38:25","N/A",
Bot10,"Junko Space Mommy",normal,40,Active,"Boss Hunter","Spawn Point (281.7 8.2 -668.6)","1","22:03:59","N/A",
Bot11,"TheRedCap",normal,7,Active,"Поисковая миссия","Zone pr_scout_col","1","22:03:59","N/A",
Bot14,"Hupfi",normal,66,Archived,"Scav Base","Scav Base: Objective #4","2","22:04:17","22:05:06",
Bot14,"Hupfi",normal,66,Archived,"Scav Base","Scav Base: Objective #1","5","22:05:11","22:06:13",
Bot14,"Hupfi",normal,66,Archived,"Scav Base","Scav Base: Objective #3","1","22:06:18","22:06:29",
Bot14,"Hupfi",normal,66,Archived,"Scav Base","Scav Base: Objective #2","4","22:06:34","22:07:25",
Bot14,"Hupfi",normal,66,Completed,"Boss Hunter","Spawn Point (87.8 -15.9 114.7)","1","22:07:30","22:08:58",
Bot14,"Hupfi",normal,66,Failed,"Sawmill Cabins","Sawmill Cabins: Objective #1","1","22:24:37","22:37:44",
Bot27,"Донатий Гаджет (Kaeno)",normal,1,Pending,"Sawmill Shack","Sawmill Shack: Objective #1","1","22:39:15","N/A",
