Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"CheekiBreeki",normal,11,Completed,"Sanitary Standards - Part 1","Zone pumproom","1","10:10:09","10:10:54",
Bot1,"CheekiBreeki",normal,11,Failed,"Dumpster Hiding","Dumpster Hiding: Objective #1","2","10:10:59","10:18:19",
Bot3,"CouponBugDotCom",normal,36,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","10:10:16","10:19:47",
Bot4,"Brin",normal,36,Completed,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","10:10:16","10:10:22",
Bot4,"Brin",normal,36,Failed,"1st Floor Office","1st Floor Office: Objective #1","1","10:10:27","10:12:29",
